title;platform;genre;audience_score;critics_score;img
Catching Lightning;paramount_plus;crime;86;NA;https://resizing.flixster.com/SadsEWkTKwz-xT-1WjWGtiQZN_M=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24189925_b_v10_aa.jpg
The Woman in the Wall;paramount_plus;crime;85;74;https://resizing.flixster.com/kE55qvJ1RXFXniC3L9WJVhvN_y8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25448120_b_v13_ac.jpg
So Help Me Todd;paramount_plus;crime;85;56;https://resizing.flixster.com/Y2Fh0eRU72kizRvSw1ST-KJmVlw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22213539_b_v13_af.jpg
Flashpoint;paramount_plus;action;85;NA;https://resizing.flixster.com/fCWggheUBrlo_ebeqfKqJj5Os6Y=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186582_b_v10_am.jpg
CSI: Crime Scene Investigation;paramount_plus;action;82;NA;https://resizing.flixster.com/qRo4e6Vr8cRNnn7USUKNqbswptk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184657_b_v13_bx.jpg
Rocket Power;paramount_plus;action;82;NA;https://resizing.flixster.com/Cgpp43IR5h_1PH_mahi39SkS7fM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186126_b_v8_aa.jpg
Special Ops: Lioness;paramount_plus;action;80;56;https://resizing.flixster.com/ydAHcBRZ_s0kUD6aGp9JCrZsSag=/206x305/v2/https://resizing.flixster.com/4F4uAVrxIUR17WghPoOHsj-M148=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNGIzYzU4ZGMtOWRiNi00ZWE2LTk5MGMtYjUxZWQ1ZDE4YWU0LmpwZw==
Star Trek: Strange New Worlds;paramount_plus;action;79;98;https://resizing.flixster.com/rv7RsWSvFfaiGEV6d0E5U_D-t8k=/206x305/v2/https://resizing.flixster.com/dJw41df5QXSzMMi6mC6FNqqg4Qg=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYTM1NzUxOGEtNWZjNi00YmQ3LThjNmUtMmQzOTdmMjc2ZTBjLmpwZw==
Are You Afraid of the Dark?;paramount_plus;mystery_and_thriller;89;NA;https://resizing.flixster.com/LAxk9W5PIJxtNeC19QAo6BYXQhM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17381642_b_v13_aa.jpg
The Woman in the Wall;paramount_plus;mystery_and_thriller;85;74;https://resizing.flixster.com/kE55qvJ1RXFXniC3L9WJVhvN_y8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25448120_b_v13_ac.jpg
Criminal Minds;paramount_plus;mystery_and_thriller;85;NA;https://resizing.flixster.com/SbhLb11qKVqhf8DA1OZQ1r2WmQ0=/206x305/v2/https://resizing.flixster.com/EwcS-gge8ekz9Uh3oUUmV8v_oCY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOGIxZGZiZDAtZjU3Ni00NmZlLTgwM2ItOTBiODQyYTg4MmJlLmpwZw==
NCIS;paramount_plus;mystery_and_thriller;85;NA;https://resizing.flixster.com/qiS4XCItSEzF0qT3HpkOK_67dGc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184930_b_v12_ae.jpg
Limitless;paramount_plus;mystery_and_thriller;85;58;https://resizing.flixster.com/QxfYOaEJ7ZrUpsYkw4xz7D-IT68=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11779145_b_v8_ab.jpg
